V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
364.8403,4.4104,19.5986,0.0131,241.0931,1.7475,18.7430,0.0079,0.8556,0.0153,4151.0000,2468.0000,True
362.7308,4.3816,19.6049,0.0131,229.9892,1.7088,18.7942,0.0081,0.8107,0.0154,3163.0000,4479.0000,True
362.1964,4.3958,19.6065,0.0132,438.4571,3.1709,18.0937,0.0079,1.5129,0.0153,359.0000,1412.0000,False
361.0963,4.3615,19.6098,0.0131,256.5288,1.8639,18.6757,0.0079,0.9342,0.0153,4822.0000,4135.0000,True
360.9760,4.7664,19.6102,0.0143,218.7648,1.5862,18.8486,0.0079,0.7616,0.0164,2661.0000,704.0000,True
360.2302,4.3651,19.6124,0.0132,232.1157,1.7113,18.7842,0.0080,0.8282,0.0154,5254.0000,2055.0000,True
354.3309,4.3060,19.6304,0.0132,234.9157,1.9280,18.7712,0.0089,0.8592,0.0159,992.0000,3006.0000,True
354.1298,4.3078,19.6310,0.0132,245.2204,1.7743,18.7246,0.0079,0.9064,0.0154,1923.0000,4873.0000,True
353.9471,4.3033,19.6316,0.0132,211.4139,1.5512,18.8857,0.0080,0.7459,0.0154,3990.0000,2700.0000,True
352.8266,4.2930,19.6350,0.0132,225.3221,1.6377,18.8165,0.0079,0.8185,0.0154,1237.0000,991.0000,True
352.6100,4.2630,19.6357,0.0131,197.8085,1.4647,18.9579,0.0080,0.6778,0.0154,2107.0000,1764.0000,True
349.6494,4.2396,19.6448,0.0132,240.0859,1.7420,18.7476,0.0079,0.8972,0.0153,3143.0000,2061.0000,True
347.5725,4.2086,19.6513,0.0131,245.3527,1.7775,18.7240,0.0079,0.9273,0.0153,3185.0000,3881.0000,True
345.1949,4.1739,19.6587,0.0131,221.1956,1.6135,18.8366,0.0079,0.8222,0.0153,1773.0000,4206.0000,True
343.1638,4.1523,19.6651,0.0131,227.6024,1.6463,18.8056,0.0079,0.8596,0.0153,5036.0000,4680.0000,True
341.6597,4.1363,19.6699,0.0131,204.6457,1.5194,18.9210,0.0081,0.7489,0.0154,1046.0000,1105.0000,True
339.6468,4.1081,19.6763,0.0131,207.5368,1.5516,18.9058,0.0081,0.7706,0.0154,4599.0000,4832.0000,True
337.8618,4.1132,19.6821,0.0132,195.3998,1.4250,18.9712,0.0079,0.7109,0.0154,2876.0000,766.0000,True
337.6160,4.0829,19.6828,0.0131,228.6417,1.6530,18.8006,0.0078,0.8822,0.0153,4664.0000,3022.0000,True
335.7403,4.2798,19.6889,0.0138,203.2702,1.4766,18.9283,0.0079,0.7606,0.0159,1435.0000,1016.0000,True
334.7843,4.0662,19.6920,0.0132,207.4481,1.7905,18.9062,0.0094,0.7858,0.0162,2974.0000,1929.0000,True
331.9657,4.0587,19.7012,0.0133,198.7172,1.5120,18.9529,0.0083,0.7483,0.0156,1271.0000,2396.0000,True
331.3610,4.0078,19.7031,0.0131,205.4224,1.4888,18.9169,0.0079,0.7863,0.0153,2370.0000,3001.0000,True
329.2234,3.9830,19.7102,0.0131,223.3843,1.6163,18.8259,0.0079,0.8843,0.0153,3079.0000,5295.0000,True
326.8380,3.9698,19.7181,0.0132,213.1609,1.5634,18.8767,0.0080,0.8413,0.0154,3622.0000,5105.0000,True
324.4507,3.9244,19.7260,0.0131,195.4126,1.4306,18.9711,0.0079,0.7549,0.0154,3012.0000,2463.0000,True
322.8408,3.9229,19.7314,0.0132,173.0060,1.2794,19.1033,0.0080,0.6281,0.0154,4635.0000,4392.0000,False
319.6503,3.8913,19.7422,0.0132,198.5242,1.4628,18.9540,0.0080,0.7882,0.0154,464.0000,2233.0000,True
319.0235,3.8726,19.7443,0.0132,211.1440,1.5382,18.8871,0.0079,0.8573,0.0154,4083.0000,1747.0000,True
318.0471,3.8847,19.7477,0.0133,209.2283,1.5214,18.8969,0.0079,0.8507,0.0154,1913.0000,3498.0000,True
315.6358,3.8285,19.7559,0.0132,164.6397,1.2013,19.1572,0.0079,0.5988,0.0154,3305.0000,1402.0000,False
313.2290,3.7981,19.7642,0.0132,195.2819,1.4813,18.9718,0.0082,0.7924,0.0155,4773.0000,1719.0000,True
309.5594,3.7543,19.7770,0.0132,195.7616,1.4434,18.9692,0.0080,0.8079,0.0154,782.0000,3614.0000,True
308.4101,3.7316,19.7811,0.0131,191.6478,1.4103,18.9922,0.0080,0.7888,0.0154,3999.0000,4440.0000,True
305.4518,3.7014,19.7915,0.0132,224.3480,1.6749,18.8212,0.0081,0.9703,0.0155,4764.0000,3333.0000,False
303.7053,3.6759,19.7978,0.0131,194.8967,1.4209,18.9740,0.0079,0.8238,0.0153,2450.0000,3956.0000,True
300.8778,3.7063,19.8079,0.0134,248.2629,1.7825,18.7112,0.0078,1.0967,0.0155,5119.0000,3908.0000,False
299.5004,3.6306,19.8129,0.0132,179.9042,1.3212,19.0609,0.0080,0.7520,0.0154,3188.0000,2512.0000,True
298.9489,3.6675,19.8149,0.0133,179.0160,1.5234,19.0663,0.0092,0.7486,0.0162,4039.0000,1161.0000,True
298.9445,3.6187,19.8149,0.0131,173.3395,1.2719,19.1013,0.0080,0.7137,0.0154,4167.0000,2194.0000,True
298.1665,3.6132,19.8178,0.0132,148.2324,1.0922,19.2711,0.0080,0.5466,0.0154,2481.0000,1922.0000,False
297.2928,3.6266,19.8209,0.0132,194.3128,1.4593,18.9772,0.0082,0.8437,0.0156,4042.0000,4844.0000,True
296.6901,3.5947,19.8231,0.0132,174.5031,1.2884,19.0940,0.0080,0.7292,0.0154,1389.0000,1315.0000,True
294.8484,3.5703,19.8299,0.0131,187.0930,1.3633,19.0184,0.0079,0.8115,0.0153,2781.0000,2621.0000,True
294.4583,3.9270,19.8313,0.0145,181.9938,1.3910,19.0484,0.0083,0.7830,0.0167,1997.0000,1001.0000,True
294.4367,3.5690,19.8314,0.0132,188.9386,1.3971,19.0077,0.0080,0.8237,0.0154,3231.0000,4836.0000,True
291.3286,9.6375,19.8429,0.0359,186.4639,6.8174,19.0220,0.0397,0.8209,0.0535,3056.0000,4068.0000,True
290.0245,3.5144,19.8478,0.0132,195.7438,1.4229,18.9693,0.0079,0.8785,0.0153,2150.0000,2498.0000,True
289.7124,3.5494,19.8490,0.0133,176.8366,1.3325,19.0796,0.0082,0.7694,0.0156,190.0000,2684.0000,True
288.4566,3.5342,19.8537,0.0133,154.6581,1.1381,19.2251,0.0080,0.6286,0.0155,3775.0000,5485.0000,False
287.9852,3.4990,19.8555,0.0132,154.9178,1.1481,19.2232,0.0080,0.6322,0.0155,3467.0000,1036.0000,False
287.4706,3.4828,19.8574,0.0132,194.5457,1.4203,18.9759,0.0079,0.8815,0.0154,1527.0000,2814.0000,True
286.9287,3.4810,19.8595,0.0132,186.1677,1.3847,19.0237,0.0081,0.8357,0.0155,3433.0000,4513.0000,True
285.1912,3.4569,19.8661,0.0132,188.2365,1.3654,19.0117,0.0079,0.8543,0.0153,2008.0000,1996.0000,True
283.3201,4.6684,19.8732,0.0179,183.4816,2.2995,19.0395,0.0136,0.8337,0.0225,5087.0000,4848.0000,True
281.3347,3.4114,19.8808,0.0132,173.5638,1.2768,19.0999,0.0080,0.7810,0.0154,1856.0000,1987.0000,True
281.2223,3.4128,19.8813,0.0132,185.4379,1.3679,19.0280,0.0080,0.8533,0.0154,4969.0000,2961.0000,True
280.5907,3.4203,19.8837,0.0132,176.8421,1.4147,19.0795,0.0087,0.8042,0.0158,1166.0000,2366.0000,True
279.5658,3.3912,19.8877,0.0132,168.2672,1.3497,19.1335,0.0087,0.7542,0.0158,5043.0000,4540.0000,True
279.4331,3.3874,19.8882,0.0132,127.3196,0.9532,19.4363,0.0081,0.4519,0.0155,700.0000,1221.0000,False
279.3295,3.3887,19.8886,0.0132,168.5068,1.2340,19.1320,0.0080,0.7567,0.0154,1866.0000,813.0000,True
278.3347,3.3871,19.8925,0.0132,181.8651,1.3773,19.0491,0.0082,0.8434,0.0156,4363.0000,3480.0000,True
278.0107,3.3689,19.8937,0.0132,176.1980,1.6193,19.0835,0.0100,0.8102,0.0165,5037.0000,5577.0000,True
277.3776,3.3668,19.8962,0.0132,172.8257,1.2722,19.1045,0.0080,0.7917,0.0154,1945.0000,3680.0000,True
277.2827,3.3603,19.8966,0.0132,173.2700,1.2715,19.1017,0.0080,0.7949,0.0154,2117.0000,3085.0000,True
276.7002,3.3561,19.8989,0.0132,176.9634,1.3278,19.0788,0.0081,0.8201,0.0155,2933.0000,2325.0000,True
275.5198,3.3405,19.9035,0.0132,183.4089,1.3422,19.0399,0.0079,0.8636,0.0154,2554.0000,4331.0000,True
